name,mid,weight
The Lost Boys,/m/031ssn,27297.0
Naayak,/m/0jwyhby,27211.0
Delhi Belly,/m/04f4lkp,27098.0
Barsaat,/m/06yl7h,27007.0
The Heat,/m/0k95mpr,27004.0
Shanghai,/m/0gg8ndw,26854.0
The Art of Flight,/m/0hr833v,26787.0
Dil,/m/0ffwcz,26643.0
Roja,/m/0c6y8m,26619.0
Pretty Woman,/m/014l6_,26458.0
Rush,/m/05p777m,26406.0
Naan Rajavaga Pogiren,/m/0hrh3tt,26315.0
Wake up Sid,/m/04f0_ys,26222.0
The Girl Next Door,/m/02t8gx,26034.0
New York,/m/04jlxvb,26023.0
Friends with Benefits,/m/0c3xw46,25899.0
Sajan,/m/0h73fz3,25848.0
Cinderella,/m/023p33,25835.0
Carry On Jatta,/m/0j7lj_p,25802.0
Dum Maaro Dum,/m/0br_rqk,25766.0
Lemonade Mouth,/m/0czbfvm,25761.0
Tum Mile,/m/06w33d7,25718.0
The Blues Brothers,/m/0c8tkt,25699.0
Beverly Hills Cop,/m/032cs4,25454.0
Ice Age: Continental Drift,/m/0fpgp26,25438.0
Country Strong,/m/0by1989,25279.0
Gone in Sixty Seconds,/m/03ljpk,25185.0
Thillu Mullu,/m/026xpq8,25059.0
The Big Lebowski,/m/07bwr,25006.0
Baazigar,/m/07cc8z,24973.0
Monsters University,/m/0gwndqr,24973.0
Ambikapathy,/m/04n4xkp,24847.0
Hall Pass,/m/0bh6zg4,24694.0
Chak De India,/m/0gllkt,24685.0
Dabangg,/m/0g4p4nv,24489.0
The Wizard of Oz,/m/02q52q,24467.0
Mankatha,/m/0ch3r0j,24457.0
Gabbar Singh,/m/0g9xnr0,24455.0
Ghost,/m/0y_pg,24359.0
Bachna Ae Haseeno,/m/0crzrgs,24328.0
Kabhi Alvida Naa Kehna,/m/066bp5,24321.0
Sixteen Candles,/m/032xrj,24308.0
Bol Bachchan,/m/0gfffqy,24273.0
The Dictator,/m/0g9z_32,24254.0
Talash,/m/04j0qtt,24215.0
Epic,/m/0hhgh69,24111.0
Saraswatichandra,/m/08n52r,24071.0
Sharaabi,/m/02qccb6,24070.0
Nanban,/m/0fq2yxr,24051.0
A Cinderella Story,/m/02cxj_,24019.0
Barsaat,/m/083vck,23980.0
Pocahontas,/m/023p7l,23898.0
Sister Act 2: Back in the Habit,/m/03sl8j,23877.0
Barbie: Princess Charm School,/m/0h1c487,23776.0
The Watch,/m/0h7nlrl,23760.0
Back to the Future,/m/0bt4g,23759.0
Reservoir Dogs,/m/02h4658,23679.0
A Thousand Elephants,/m/0gj06r,23625.0
Step Up,/m/0b73wst,23606.0
The First Time,/m/0gxq452,23599.0
Iddaru Ammayilu,/m/0h3rzb_,23599.0
Will You Cross the Skies for Me?,/m/05f588q,23594.0
Sucker Punch,/m/07sc6nw,23552.0
Moonrise Kingdom,/m/0gkz3nz,23521.0
Dilwale,/m/047q7m3,23512.0
Mumbai-Pune-Mumbai,/m/0g57gkc,23451.0
Don: The Chase Begins Again,/m/09pm6y,23418.0
White Chicks,/m/03k9bl,23231.0
Ishkq in Paris,/m/0gxts35,23227.0
Love & Basketball,/m/08487v,23168.0
Almost Famous,/m/027r9t,23089.0
Paiyaa,/m/051xnh0,23051.0
Qayamat Se Qayamat Tak,/m/08cv0c,23005.0
Raaz 2,/m/02r9x38,22950.0
Terminator 2: Judgment Day,/m/07gp9,22910.0
Dostana,/m/03y8k5j,22872.0
Dumb & Dumber,/m/0372j5,22795.0
Napoleon Dynamite,/m/03lfd_,22764.0
Skyfall,/m/02vxq9m,22705.0
Rocky IV,/m/0q9sg,22624.0
Temptation: Confessions of a Marriage Counselor,/m/0h668xg,22558.0
Halloween,/m/0m3gy,22541.0
City of Angels,/m/014_x2,22528.0
Barsaat,/m/06yl37,22449.0
Mujhse Dosti Karoge!,/m/04swh0,22430.0
Tara Rum Pam Pam,/m/0f1qlg,22409.0
Defiance,/m/03m5vzd,22378.0
Ready,/m/0gyk_v2,22349.0
Team America: World Police,/m/03n3gl,22341.0
Amélie,/m/0c296,22286.0
Waves,/m/086z0b,22204.0
The Crow,/m/024gy8,22187.0
Dostana,/m/02qkb31,22158.0
Raja,/m/0kv53j,22109.0
Pretty in Pink,/m/02bg6w,22031.0
Bombay,/m/0426xd,21937.0
Snatch,/m/034hwx,21907.0
Singh Is Kinng,/m/03c6g3r,21865.0
Fast & Furious,/m/03w9gp_,21855.0
A Night at the Roxbury,/m/0137wc,21823.0
Thaandavam,/m/0hgrfsr,21664.0
Sparkle,/m/0h66z__,21663.0
Ekk Deewana Tha,/m/0gmgy49,21661.0
School of Rock,/m/03dbjv,21639.0
The Intouchables,/m/0hgqwpj,21609.0
The Lucky One,/m/0hgky8t,21591.0
Men in Black 3,/m/0661m4p,21434.0
Camp Rock,/m/02w4by3,21396.0
8 Mile,/m/017d93,21233.0
Real Steel,/m/0c3zjn7,21110.0
The Matrix,/m/07cz2,21057.0
Guru,/m/09xq68,21028.0
The Departed,/m/04vr_f,20987.0
Lakshya,/m/0cqk7c,20965.0
Tere Naal Love Ho Gaya,/m/0h1cygl,20936.0
Ayan,/m/03yb2y3,20911.0
Dil Chahta Hai,/m/04z13w,20901.0
Magadheera,/m/064mm1g,20894.0
