name,mid,weight
The Cure,/m/0fsyx,23221.0
Limp Bizkit,/m/04qzm,23194.0
Melody Gardot,/m/0blr_n,23119.0
Bret Michaels,/m/01wkmgb,23116.0
Joe Walsh,/m/01sb5r,23113.0
VeggieTales,/m/0vsbnb0,23103.0
Corona,/m/04253g,23083.0
John Mellencamp,/m/016t00,23074.0
Disclosure,/m/0n5vlzp,22847.0
Too $hort,/m/01wk444,22809.0
Bonnie Tyler,/m/0bjx1,22725.0
Randy Houser,/m/049h3rr,22716.0
Whitesnake,/m/0130yf,22692.0
Boy George,/m/0d0lvv,22663.0
Electronic,/m/01jlc01,22662.0
Kenny Loggins,/m/01q3_2,22632.0
Sudesh Kumari,/m/01x1046,22617.0
Deep Purple,/m/0cfgd,22603.0
Arctic Monkeys,/m/05q_9w,22545.0
Gloria Estefan,/m/01w58n3,22475.0
Lauryn Hill,/m/015mrk,22458.0
TLC,/m/07j79f,22457.0
The Moody Blues,/m/012vm6,22367.0
The Smiths,/m/0dtn7,22304.0
Carly Rae Jepsen,/m/04f7dsy,22165.0
Missy Elliott,/m/018n6m,22044.0
MGK,/m/0gjcnwm,22034.0
Daler Mehndi,/m/024wsh,21944.0
Kip Moore,/m/0gl0hjp,21933.0
Three Dog Night,/m/02dlsf,21914.0
Of Monsters and Men,/m/0hglxhl,21869.0
Yes,/m/0b_xm,21762.0
Linda Ronstadt,/m/015882,21756.0
Rondo,/m/01sk80p,21752.0
Parokya ni Edgar,/m/06x3rp,21662.0
Björn Ulvaeus,/m/017kq,21626.0
Karen Carpenter,/m/01pvxdq,21591.0
Skillet,/m/01j59b0,21585.0
Jefferson Starship,/m/03qkcn9,21565.0
Benny Andersson,/m/017l4,21553.0
Rainbow,/m/016cw8,21483.0
Daniel Padilla,/m/0h65pcr,21466.0
McFly,/m/02kfyr,21453.0
Alison Krauss,/m/02cx90,21443.0
Amar Singh Chamkila,/m/06wqng,21387.0
Simple Plan,/m/01h113,21369.0
Fairuz,/m/02g1vx,21314.0
Lifehouse,/m/0441c9,21308.0
Joan Jett,/m/01_8rq,21292.0
George Gershwin,/m/03f4k,21287.0
Tracy Chapman,/m/016s0m,21223.0
The Miracles,/m/0281dr,21213.0
Third Day,/m/01j6pb3,21195.0
Ramones,/m/06lxn,21125.0
Kacey Musgraves,/m/0m0pfvj,21123.0
Daughtry,/m/0f2jr1,21118.0
Jesus Culture,/m/0frpy5p,21107.0
Little Big Town,/m/0800tp,21071.0
Lee Brice,/m/02rh9bp,21045.0
All Time Low,/m/01rlkvh,21014.0
Don Omar,/m/04lxnb,20969.0
Scotty McCreery,/m/0cc99yf,20941.0
Phillip Phillips,/m/0j46c2c,20910.0
Slipknot,/m/0ntq7,20897.0
JoJo,/m/01wjgjb,20804.0
Engelbert Humperdinck,/m/01wf1r3,20779.0
Alice Cooper,/m/011hdn,20735.0
Ronan Keating,/m/02d130,20668.0
South Park Mexican,/m/016n_c,20600.0
